Series_Title,Genre,Director,Star1,Star2,Star3,Star4
Hacksaw Ridge,"Biography, Drama, History",Mel Gibson,Andrew Garfield,Sam Worthington,Luke Bracey,Teresa Palmer
Inside Out,"Animation, Adventure, Comedy",Pete Docter,Ronnie Del Carmen,Amy Poehler,Bill Hader,Lewis Black
Barfi!,"Comedy, Drama, Romance",Anurag Basu,Ranbir Kapoor,Priyanka Chopra,Ileana D'Cruz,Saurabh Shukla
12 Years a Slave,"Biography, Drama, History",Steve McQueen,Chiwetel Ejiofor,Michael Kenneth Williams,Michael Fassbender,Brad Pitt
Rush,"Action, Biography, Drama",Ron Howard,Daniel Brühl,Chris Hemsworth,Olivia Wilde,Alexandra Maria Lara
Ford v Ferrari,"Action, Biography, Drama",James Mangold,Matt Damon,Christian Bale,Jon Bernthal,Caitriona Balfe
Spotlight,"Biography, Crime, Drama",Tom McCarthy,Mark Ruffalo,Michael Keaton,Rachel McAdams,Liev Schreiber
Song of the Sea,"Animation, Adventure, Drama",Tomm Moore,David Rawle,Brendan Gleeson,Lisa Hannigan,Fionnula Flanagan
Kahaani,"Mystery, Thriller",Sujoy Ghosh,Vidya Balan,Parambrata Chattopadhyay,Indraneil Sengupta,Nawazuddin Siddiqui
Zindagi Na Milegi Dobara,"Comedy, Drama",Zoya Akhtar,Hrithik Roshan,Farhan Akhtar,Abhay Deol,Katrina Kaif
Prisoners,"Crime, Drama, Mystery",Denis Villeneuve,Hugh Jackman,Jake Gyllenhaal,Viola Davis,Melissa Leo
Mad Max: Fury Road,"Action, Adventure, Sci-Fi",George Miller,Tom Hardy,Charlize Theron,Nicholas Hoult,Zoë Kravitz
A Wednesday,"Action, Crime, Drama",Neeraj Pandey,Anupam Kher,Naseeruddin Shah,Jimmy Sheirgill,Aamir Bashir
Gran Torino,Drama,Clint Eastwood,Clint Eastwood,Bee Vang,Christopher Carley,Ahney Her
Harry Potter and the Deathly Hallows: Part 2,"Adventure, Drama, Fantasy",David Yates,Daniel Radcliffe,Emma Watson,Rupert Grint,Michael Gambon
Okuribito,"Drama, Music",Yôjirô Takita,Masahiro Motoki,Ryôko Hirosue,Tsutomu Yamazaki,Kazuko Yoshiyuki
Hachi: A Dog's Tale,"Biography, Drama, Family",Lasse Hallström,Richard Gere,Joan Allen,Cary-Hiroyuki Tagawa,Sarah Roemer
Mary and Max,"Animation, Comedy, Drama",Adam Elliot,Toni Collette,Philip Seymour Hoffman,Eric Bana,Barry Humphries
How to Train Your Dragon,"Animation, Action, Adventure",Dean DeBlois,Chris Sanders,Jay Baruchel,Gerard Butler,Christopher Mintz-Plasse
Into the Wild,"Adventure, Biography, Drama",Sean Penn,Emile Hirsch,Vince Vaughn,Catherine Keener,Marcia Gay Harden
No Country for Old Men,"Crime, Drama, Thriller",Ethan Coen,Joel Coen,Tommy Lee Jones,Javier Bardem,Josh Brolin
Lage Raho Munna Bhai,"Comedy, Drama, Romance",Rajkumar Hirani,Sanjay Dutt,Arshad Warsi,Vidya Balan,Boman Irani
Million Dollar Baby,"Drama, Sport",Clint Eastwood,Hilary Swank,Clint Eastwood,Morgan Freeman,Jay Baruchel
Hotel Rwanda,"Biography, Drama, History",Terry George,Don Cheadle,Sophie Okonedo,Joaquin Phoenix,Xolani Mali
Taegukgi hwinalrimyeo,"Action, Drama, War",Je-kyu Kang,Jang Dong-Gun,Won Bin,Eun-ju Lee,Hyeong-jin Kong
Before Sunset,"Drama, Romance",Richard Linklater,Ethan Hawke,Julie Delpy,Vernon Dobtcheff,Louise Lemoine Torrès
Munna Bhai M.B.B.S.,"Comedy, Drama, Musical",Rajkumar Hirani,Sanjay Dutt,Arshad Warsi,Gracy Singh,Sunil Dutt
Salinui chueok,"Crime, Drama, Mystery",Bong Joon Ho,Kang-ho Song,Kim Sang-kyung,Roe-ha Kim,Jae-ho Song
Dil Chahta Hai,"Comedy, Drama, Romance",Farhan Akhtar,Aamir Khan,Saif Ali Khan,Akshaye Khanna,Preity Zinta
Kill Bill: Vol. 1,"Action, Crime, Drama",Quentin Tarantino,Uma Thurman,David Carradine,Daryl Hannah,Michael Madsen
Finding Nemo,"Animation, Adventure, Comedy",Andrew Stanton,Lee Unkrich,Albert Brooks,Ellen DeGeneres,Alexander Gould
Catch Me If You Can,"Biography, Crime, Drama",Steven Spielberg,Leonardo DiCaprio,Tom Hanks,Christopher Walken,Martin Sheen
Amores perros,"Drama, Thriller",Alejandro G. Iñárritu,Emilio Echevarría,Gael García Bernal,Goya Toledo,Álvaro Guerrero
"Monsters, Inc.","Animation, Adventure, Comedy",Pete Docter,David Silverman,Lee Unkrich,Billy Crystal,John Goodman
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni","Animation, Action, Drama",Hideaki Anno,Kazuya Tsurumaki,Megumi Ogata,Megumi Hayashibara,Yûko Miyamura
Lagaan: Once Upon a Time in India,"Adventure, Drama, Musical",Ashutosh Gowariker,Aamir Khan,Raghuvir Yadav,Gracy Singh,Rachel Shelley
The Sixth Sense,"Drama, Mystery, Thriller",M. Night Shyamalan,Bruce Willis,Haley Joel Osment,Toni Collette,Olivia Williams
La leggenda del pianista sull'oceano,"Drama, Music, Romance",Giuseppe Tornatore,Tim Roth,Pruitt Taylor Vince,Mélanie Thierry,Bill Nunn
The Truman Show,"Comedy, Drama",Peter Weir,Jim Carrey,Ed Harris,Laura Linney,Noah Emmerich
"Crna macka, beli macor","Comedy, Crime, Romance",Emir Kusturica,Bajram Severdzan,Srdjan 'Zika' Todorovic,Branka Katic,Florijan Ajdini
The Big Lebowski,"Comedy, Crime, Sport",Joel Coen,Ethan Coen,Jeff Bridges,John Goodman,Julianne Moore
Fa yeung nin wah,"Drama, Romance",Kar-Wai Wong,Tony Chiu-Wai Leung,Maggie Cheung,Ping Lam Siu,Tung Cho 'Joe' Cheung
Trainspotting,Drama,Danny Boyle,Ewan McGregor,Ewen Bremner,Jonny Lee Miller,Kevin McKidd
Fargo,"Crime, Drama, Thriller",Joel Coen,Ethan Coen,William H. Macy,Frances McDormand,Steve Buscemi
Underground,"Comedy, Drama, War",Emir Kusturica,Predrag 'Miki' Manojlovic,Lazar Ristovski,Mirjana Jokovic,Slavko Stimac
La haine,"Crime, Drama",Mathieu Kassovitz,Vincent Cassel,Hubert Koundé,Saïd Taghmaoui,Abdel Ahmed Ghili
Dilwale Dulhania Le Jayenge,"Drama, Romance",Aditya Chopra,Shah Rukh Khan,Kajol,Amrish Puri,Farida Jalal
Before Sunrise,"Drama, Romance",Richard Linklater,Ethan Hawke,Julie Delpy,Andrea Eckert,Hanno Pöschl
Trois couleurs: Rouge,"Drama, Mystery, Romance",Krzysztof Kieslowski,Irène Jacob,Jean-Louis Trintignant,Frédérique Feder,Jean-Pierre Lorit
Chung Hing sam lam,"Comedy, Crime, Drama",Kar-Wai Wong,Brigitte Lin,Takeshi Kaneshiro,Tony Chiu-Wai Leung,Faye Wong
Jurassic Park,"Action, Adventure, Sci-Fi",Steven Spielberg,Sam Neill,Laura Dern,Jeff Goldblum,Richard Attenborough
In the Name of the Father,"Biography, Crime, Drama",Jim Sheridan,Daniel Day-Lewis,Pete Postlethwaite,Alison Crosbie,Philip King
Ba wang bie ji,"Drama, Music, Romance",Kaige Chen,Leslie Cheung,Fengyi Zhang,Gong Li,You Ge
Dà hóng denglong gaogao guà,"Drama, History, Romance",Yimou Zhang,Gong Li,Jingwu Ma,Saifei He,Cuifen Cao
Dead Poets Society,"Comedy, Drama",Peter Weir,Robin Williams,Robert Sean Leonard,Ethan Hawke,Josh Charles
Stand by Me,"Adventure, Drama",Rob Reiner,Wil Wheaton,River Phoenix,Corey Feldman,Jerry O'Connell
Platoon,"Drama, War",Oliver Stone,Charlie Sheen,Tom Berenger,Willem Dafoe,Keith David
"Paris, Texas",Drama,Wim Wenders,Harry Dean Stanton,Nastassja Kinski,Dean Stockwell,Aurore Clément
Kaze no tani no Naushika,"Animation, Adventure, Fantasy",Hayao Miyazaki,Sumi Shimamoto,Mahito Tsujimura,Hisako Kyôda,Gorô Naya
The Thing,"Horror, Mystery, Sci-Fi",John Carpenter,Kurt Russell,Wilford Brimley,Keith David,Richard Masur
Pink Floyd: The Wall,"Drama, Fantasy, Music",Alan Parker,Bob Geldof,Christine Hargreaves,James Laurenson,Eleanor David
Fitzcarraldo,"Adventure, Drama",Werner Herzog,Klaus Kinski,Claudia Cardinale,José Lewgoy,Miguel Ángel Fuentes
Fanny och Alexander,Drama,Ingmar Bergman,Bertil Guve,Pernilla Allwin,Kristina Adolphson,Börje Ahlstedt
Blade Runner,"Action, Sci-Fi, Thriller",Ridley Scott,Harrison Ford,Rutger Hauer,Sean Young,Edward James Olmos
The Elephant Man,"Biography, Drama",David Lynch,Anthony Hopkins,John Hurt,Anne Bancroft,John Gielgud
Life of Brian,Comedy,Terry Jones,Graham Chapman,John Cleese,Michael Palin,Terry Gilliam
The Deer Hunter,"Drama, War",Michael Cimino,Robert De Niro,Christopher Walken,John Cazale,John Savage
Rocky,"Drama, Sport",John G. Avildsen,Sylvester Stallone,Talia Shire,Burt Young,Carl Weathers
Network,Drama,Sidney Lumet,Faye Dunaway,William Holden,Peter Finch,Robert Duvall
Barry Lyndon,"Adventure, Drama, History",Stanley Kubrick,Ryan O'Neal,Marisa Berenson,Patrick Magee,Hardy Krüger
Zerkalo,"Biography, Drama",Andrei Tarkovsky,Margarita Terekhova,Filipp Yankovskiy,Ignat Daniltsev,Oleg Yankovskiy
Chinatown,"Drama, Mystery, Thriller",Roman Polanski,Jack Nicholson,Faye Dunaway,John Huston,Perry Lopez
Paper Moon,"Comedy, Crime, Drama",Peter Bogdanovich,Ryan O'Neal,Tatum O'Neal,Madeline Kahn,John Hillerman
Viskningar och rop,Drama,Ingmar Bergman,Harriet Andersson,Liv Ullmann,Kari Sylwan,Ingrid Thulin
Solaris,"Drama, Mystery, Sci-Fi",Andrei Tarkovsky,Natalya Bondarchuk,Donatas Banionis,Jüri Järvet,Vladislav Dvorzhetskiy
Le samouraï,"Crime, Drama, Mystery",Jean-Pierre Melville,Alain Delon,François Périer,Nathalie Delon,Cathy Rosier
Cool Hand Luke,"Crime, Drama",Stuart Rosenberg,Paul Newman,George Kennedy,Strother Martin,J.D. Cannon
Persona,"Drama, Thriller",Ingmar Bergman,Bibi Andersson,Liv Ullmann,Margaretha Krook,Gunnar Björnstrand
Andrei Rublev,"Biography, Drama, History",Andrei Tarkovsky,Anatoliy Solonitsyn,Ivan Lapikov,Nikolay Grinko,Nikolay Sergeev
La battaglia di Algeri,"Drama, War",Gillo Pontecorvo,Brahim Hadjadj,Jean Martin,Yacef Saadi,Samia Kerbash
El ángel exterminador,"Drama, Fantasy",Luis Buñuel,Silvia Pinal,Jacqueline Andere,Enrique Rambal,José Baviera
What Ever Happened to Baby Jane?,"Drama, Horror, Thriller",Robert Aldrich,Bette Davis,Joan Crawford,Victor Buono,Wesley Addy
Sanjuro,"Action, Comedy, Crime",Akira Kurosawa,Toshirô Mifune,Tatsuya Nakadai,Keiju Kobayashi,Yûnosuke Itô
The Man Who Shot Liberty Valance,"Drama, Western",John Ford,James Stewart,John Wayne,Vera Miles,Lee Marvin
Ivanovo detstvo,"Drama, War",Andrei Tarkovsky,Eduard Abalov,Nikolay Burlyaev,Valentin Zubkov,Evgeniy Zharikov
Jungfrukällan,Drama,Ingmar Bergman,Max von Sydow,Birgitta Valberg,Gunnel Lindblom,Birgitta Pettersson
Inherit the Wind,"Biography, Drama, History",Stanley Kramer,Spencer Tracy,Fredric March,Gene Kelly,Dick York
Les quatre cents coups,"Crime, Drama",François Truffaut,Jean-Pierre Léaud,Albert Rémy,Claire Maurier,Guy Decomble
Ben-Hur,"Adventure, Drama, History",William Wyler,Charlton Heston,Jack Hawkins,Stephen Boyd,Haya Harareet
Kakushi-toride no san-akunin,"Adventure, Drama",Akira Kurosawa,Toshirô Mifune,Misa Uehara,Minoru Chiaki,Kamatari Fujiwara
Le notti di Cabiria,Drama,Federico Fellini,Giulietta Masina,François Périer,Franca Marzi,Dorian Gray
Kumonosu-jô,"Drama, History",Akira Kurosawa,Toshirô Mifune,Minoru Chiaki,Isuzu Yamada,Takashi Shimura
The Bridge on the River Kwai,"Adventure, Drama, War",David Lean,William Holden,Alec Guinness,Jack Hawkins,Sessue Hayakawa
On the Waterfront,"Crime, Drama, Thriller",Elia Kazan,Marlon Brando,Karl Malden,Lee J. Cobb,Rod Steiger
Le salaire de la peur,"Adventure, Drama, Thriller",Henri-Georges Clouzot,Yves Montand,Charles Vanel,Peter van Eyck,Folco Lulli
Ace in the Hole,"Drama, Film-Noir",Billy Wilder,Kirk Douglas,Jan Sterling,Robert Arthur,Porter Hall
White Heat,"Action, Crime, Drama",Raoul Walsh,James Cagney,Virginia Mayo,Edmond O'Brien,Margaret Wycherly
The Third Man,"Film-Noir, Mystery, Thriller",Carol Reed,Orson Welles,Joseph Cotten,Alida Valli,Trevor Howard
The Red Shoes,"Drama, Music, Romance",Michael Powell,Emeric Pressburger,Anton Walbrook,Marius Goring,Moira Shearer
The Shop Around the Corner,"Comedy, Drama, Romance",Ernst Lubitsch,Margaret Sullavan,James Stewart,Frank Morgan,Joseph Schildkraut
Rebecca,"Drama, Mystery, Romance",Alfred Hitchcock,Laurence Olivier,Joan Fontaine,George Sanders,Judith Anderson
Mr. Smith Goes to Washington,"Comedy, Drama",Frank Capra,James Stewart,Jean Arthur,Claude Rains,Edward Arnold
Gone with the Wind,"Drama, History, Romance",Victor Fleming,George Cukor,Sam Wood,Clark Gable,Vivien Leigh
La Grande Illusion,"Drama, War",Jean Renoir,Jean Gabin,Dita Parlo,Pierre Fresnay,Erich von Stroheim
It Happened One Night,"Comedy, Romance",Frank Capra,Clark Gable,Claudette Colbert,Walter Connolly,Roscoe Karns
La passion de Jeanne d'Arc,"Biography, Drama, History",Carl Theodor Dreyer,Maria Falconetti,Eugene Silvain,André Berley,Maurice Schutz
The Circus,"Comedy, Romance",Charles Chaplin,Charles Chaplin,Merna Kennedy,Al Ernest Garcia,Harry Crocker
Sunrise: A Song of Two Humans,"Drama, Romance",F.W. Murnau,George O'Brien,Janet Gaynor,Margaret Livingston,Bodil Rosing
The General,"Action, Adventure, Comedy",Clyde Bruckman,Buster Keaton,Buster Keaton,Marion Mack,Glen Cavender
Das Cabinet des Dr. Caligari,"Fantasy, Horror, Mystery",Robert Wiene,Werner Krauss,Conrad Veidt,Friedrich Feher,Lil Dagover
Badhaai ho,"Comedy, Drama",Amit Ravindernath Sharma,Ayushmann Khurrana,Neena Gupta,Gajraj Rao,Sanya Malhotra
Togo,"Adventure, Biography, Drama",Ericson Core,Willem Dafoe,Julianne Nicholson,Christopher Heyerdahl,Richard Dormer
Airlift,"Drama, History",Raja Menon,Akshay Kumar,Nimrat Kaur,Kumud Mishra,Prakash Belawadi
Bajrangi Bhaijaan,"Action, Adventure, Comedy",Kabir Khan,Salman Khan,Harshaali Malhotra,Nawazuddin Siddiqui,Kareena Kapoor
Baby,"Action, Crime, Thriller",Neeraj Pandey,Akshay Kumar,Danny Denzongpa,Rana Daggubati,Taapsee Pannu
La La Land,"Comedy, Drama, Music",Damien Chazelle,Ryan Gosling,Emma Stone,Rosemarie DeWitt,J.K. Simmons
Lion,"Biography, Drama",Garth Davis,Dev Patel,Nicole Kidman,Rooney Mara,Sunny Pawar
The Martian,"Adventure, Drama, Sci-Fi",Ridley Scott,Matt Damon,Jessica Chastain,Kristen Wiig,Kate Mara
Zootopia,"Animation, Adventure, Comedy",Byron Howard,Rich Moore,Jared Bush,Ginnifer Goodwin,Jason Bateman
Bãhubali: The Beginning,"Action, Drama",S.S. Rajamouli,Prabhas,Rana Daggubati,Ramya Krishnan,Sathyaraj
Kaguyahime no monogatari,"Animation, Adventure, Drama",Isao Takahata,Chloë Grace Moretz,James Caan,Mary Steenburgen,James Marsden
Wonder,"Drama, Family",Stephen Chbosky,Jacob Tremblay,Owen Wilson,Izabela Vidovic,Julia Roberts
Gully Boy,"Drama, Music, Romance",Zoya Akhtar,Vijay Varma,Nakul Roshan Sahdev,Ranveer Singh,Vijay Raaz
Special Chabbis,"Crime, Drama, Thriller",Neeraj Pandey,Akshay Kumar,Anupam Kher,Manoj Bajpayee,Jimmy Sheirgill
Short Term 12,Drama,Destin Daniel Cretton,Brie Larson,Frantz Turner,John Gallagher Jr.,Kaitlyn Dever
Serbuan maut 2: Berandal,"Action, Crime, Thriller",Gareth Evans,Iko Uwais,Yayan Ruhian,Arifin Putra,Oka Antara
The Imitation Game,"Biography, Drama, Thriller",Morten Tyldum,Benedict Cumberbatch,Keira Knightley,Matthew Goode,Allen Leech
Guardians of the Galaxy,"Action, Adventure, Comedy",James Gunn,Chris Pratt,Vin Diesel,Bradley Cooper,Zoe Saldana
Blade Runner 2049,"Action, Drama, Mystery",Denis Villeneuve,Harrison Ford,Ryan Gosling,Ana de Armas,Dave Bautista
Her,"Drama, Romance, Sci-Fi",Spike Jonze,Joaquin Phoenix,Amy Adams,Scarlett Johansson,Rooney Mara
Bohemian Rhapsody,"Biography, Drama, Music",Bryan Singer,Rami Malek,Lucy Boynton,Gwilym Lee,Ben Hardy
The Revenant,"Action, Adventure, Drama",Alejandro G. Iñárritu,Leonardo DiCaprio,Tom Hardy,Will Poulter,Domhnall Gleeson
The Perks of Being a Wallflower,"Drama, Romance",Stephen Chbosky,Logan Lerman,Emma Watson,Ezra Miller,Paul Rudd
Tropa de Elite 2: O Inimigo Agora é Outro,"Action, Crime, Drama",José Padilha,Wagner Moura,Irandhir Santos,André Ramiro,Milhem Cortaz
The King's Speech,"Biography, Drama, History",Tom Hooper,Colin Firth,Geoffrey Rush,Helena Bonham Carter,Derek Jacobi
The Help,Drama,Tate Taylor,Emma Stone,Viola Davis,Octavia Spencer,Bryce Dallas Howard
Deadpool,"Action, Adventure, Comedy",Tim Miller,Ryan Reynolds,Morena Baccarin,T.J. Miller,Ed Skrein
Darbareye Elly,"Drama, Mystery",Asghar Farhadi,Golshifteh Farahani,Shahab Hosseini,Taraneh Alidoosti,Merila Zare'i
Dev.D,"Drama, Romance",Anurag Kashyap,Abhay Deol,Mahie Gill,Kalki Koechlin,Dibyendu Bhattacharya
Yip Man,"Action, Biography, Drama",Wilson Yip,Donnie Yen,Simon Yam,Siu-Wong Fan,Ka Tung Lam
My Name Is Khan,Drama,Karan Johar,Shah Rukh Khan,Kajol,Sheetal Menon,Katie A. Keane
Nefes: Vatan Sagolsun,"Action, Drama, Thriller",Levent Semerci,Erdem Can,Mete Horozoglu,Ilker Kizmaz,Baris Bagci
Slumdog Millionaire,"Drama, Romance",Danny Boyle,Loveleen Tandan,Dev Patel,Freida Pinto,Saurabh Shukla
Black Swan,"Drama, Thriller",Darren Aronofsky,Natalie Portman,Mila Kunis,Vincent Cassel,Winona Ryder
Tropa de Elite,"Action, Crime, Drama",José Padilha,Wagner Moura,André Ramiro,Caio Junqueira,Milhem Cortaz
The Avengers,"Action, Adventure, Sci-Fi",Joss Whedon,Robert Downey Jr.,Chris Evans,Scarlett Johansson,Jeremy Renner
Persepolis,"Animation, Biography, Drama",Vincent Paronnaud,Marjane Satrapi,Chiara Mastroianni,Catherine Deneuve,Gena Rowlands
Dallas Buyers Club,"Biography, Drama",Jean-Marc Vallée,Matthew McConaughey,Jennifer Garner,Jared Leto,Steve Zahn
The Pursuit of Happyness,"Biography, Drama",Gabriele Muccino,Will Smith,Thandie Newton,Jaden Smith,Brian Howe
Blood Diamond,"Adventure, Drama, Thriller",Edward Zwick,Leonardo DiCaprio,Djimon Hounsou,Jennifer Connelly,Kagiso Kuypers
The Bourne Ultimatum,"Action, Mystery, Thriller",Paul Greengrass,Matt Damon,Edgar Ramírez,Joan Allen,Julia Stiles
Bin-jip,"Crime, Drama, Romance",Ki-duk Kim,Seung-Yun Lee,Hee Jae,Hyuk-ho Kwon,Jin-mo Joo
Sin City,"Crime, Thriller",Frank Miller,Quentin Tarantino,Robert Rodriguez,Mickey Rourke,Clive Owen
Le scaphandre et le papillon,"Biography, Drama",Julian Schnabel,Laura Obiols,Mathieu Amalric,Emmanuelle Seigner,Marie-Josée Croze
G.O.R.A.,"Adventure, Comedy, Sci-Fi",Ömer Faruk Sorak,Cem Yilmaz,Özge Özberk,Ozan Güven,Safak Sezer
Ratatouille,"Animation, Adventure, Comedy",Brad Bird,Jan Pinkava,Brad Garrett,Lou Romano,Patton Oswalt
Casino Royale,"Action, Adventure, Thriller",Martin Campbell,Daniel Craig,Eva Green,Judi Dench,Jeffrey Wright
Kill Bill: Vol. 2,"Action, Crime, Thriller",Quentin Tarantino,Uma Thurman,David Carradine,Michael Madsen,Daryl Hannah
Vozvrashchenie,Drama,Andrey Zvyagintsev,Vladimir Garin,Ivan Dobronravov,Konstantin Lavronenko,Nataliya Vdovina
Bom Yeoareum Gaeul Gyeoul Geurigo Bom,"Drama, Romance",Ki-duk Kim,Ki-duk Kim,Yeong-su Oh,Jong-ho Kim,Kim Young-Min
Mar adentro,"Biography, Drama",Alejandro Amenábar,Javier Bardem,Belén Rueda,Lola Dueñas,Mabel Rivera
Cinderella Man,"Biography, Drama, History",Ron Howard,Russell Crowe,Renée Zellweger,Craig Bierko,Paul Giamatti
Kal Ho Naa Ho,"Comedy, Drama, Musical",Nikkhil Advani,Preity Zinta,Shah Rukh Khan,Saif Ali Khan,Jaya Bachchan
Mou gaan dou,"Action, Crime, Drama",Andrew Lau,Alan Mak,Andy Lau,Tony Chiu-Wai Leung,Anthony Chau-Sang Wong
Pirates of the Caribbean: The Curse of the Black Pearl,"Action, Adventure, Fantasy",Gore Verbinski,Johnny Depp,Geoffrey Rush,Orlando Bloom,Keira Knightley
Big Fish,"Adventure, Drama, Fantasy",Tim Burton,Ewan McGregor,Albert Finney,Billy Crudup,Jessica Lange
The Incredibles,"Animation, Action, Adventure",Brad Bird,Craig T. Nelson,Samuel L. Jackson,Holly Hunter,Jason Lee
Yeopgijeogin geunyeo,"Comedy, Drama, Romance",Jae-young Kwak,Tae-Hyun Cha,Jun Ji-Hyun,In-mun Kim,Song Wok-suk
Dogville,"Crime, Drama",Lars von Trier,Nicole Kidman,Paul Bettany,Lauren Bacall,Harriet Andersson
Vizontele,"Comedy, Drama",Yilmaz Erdogan,Ömer Faruk Sorak,Yilmaz Erdogan,Demet Akbag,Altan Erkekli
Donnie Darko,"Drama, Mystery, Sci-Fi",Richard Kelly,Jake Gyllenhaal,Jena Malone,Mary McDonnell,Holmes Osborne
Magnolia,Drama,Paul Thomas Anderson,Tom Cruise,Jason Robards,Julianne Moore,Philip Seymour Hoffman
Dancer in the Dark,"Crime, Drama, Musical",Lars von Trier,Björk,Catherine Deneuve,David Morse,Peter Stormare
The Straight Story,"Biography, Drama",David Lynch,Richard Farnsworth,Sissy Spacek,Jane Galloway Heitz,Joseph A. Carpenter
Pâfekuto burû,"Animation, Crime, Mystery",Satoshi Kon,Junko Iwao,Rica Matsumoto,Shinpachi Tsuji,Masaaki Ôkura
Festen,Drama,Thomas Vinterberg,Ulrich Thomsen,Henning Moritzen,Thomas Bo Larsen,Paprika Steen
Central do Brasil,Drama,Walter Salles,Fernanda Montenegro,Vinícius de Oliveira,Marília Pêra,Soia Lira
The Iron Giant,"Animation, Action, Adventure",Brad Bird,Eli Marienthal,Harry Connick Jr.,Jennifer Aniston,Vin Diesel
Knockin' on Heaven's Door,"Action, Crime, Comedy",Thomas Jahn,Til Schweiger,Jan Josef Liefers,Thierry van Werveke,Moritz Bleibtreu
Sling Blade,Drama,Billy Bob Thornton,Billy Bob Thornton,Dwight Yoakam,J.T. Walsh,John Ritter
Secrets & Lies,"Comedy, Drama",Mike Leigh,Timothy Spall,Brenda Blethyn,Phyllis Logan,Claire Rushbrook
Twelve Monkeys,"Mystery, Sci-Fi, Thriller",Terry Gilliam,Bruce Willis,Madeleine Stowe,Brad Pitt,Joseph Melito
Kôkaku Kidôtai,"Animation, Action, Crime",Mamoru Oshii,Atsuko Tanaka,Iemasa Kayumi,Akio Ôtsuka,Kôichi Yamadera
The Nightmare Before Christmas,"Animation, Family, Fantasy",Henry Selick,Danny Elfman,Chris Sarandon,Catherine O'Hara,William Hickey
Groundhog Day,"Comedy, Fantasy, Romance",Harold Ramis,Bill Murray,Andie MacDowell,Chris Elliott,Stephen Tobolowsky
Bound by Honor,"Crime, Drama",Taylor Hackford,Damian Chapa,Jesse Borrego,Benjamin Bratt,Enrique Castillo
Scent of a Woman,Drama,Martin Brest,Al Pacino,Chris O'Donnell,James Rebhorn,Gabrielle Anwar
Aladdin,"Animation, Adventure, Comedy",Ron Clements,John Musker,Scott Weinger,Robin Williams,Linda Larkin
JFK,"Drama, History, Thriller",Oliver Stone,Kevin Costner,Gary Oldman,Jack Lemmon,Walter Matthau
Beauty and the Beast,"Animation, Family, Fantasy",Gary Trousdale,Kirk Wise,Paige O'Hara,Robby Benson,Jesse Corti
Dances with Wolves,"Adventure, Drama, Western",Kevin Costner,Kevin Costner,Mary McDonnell,Graham Greene,Rodney A. Grant
Do the Right Thing,"Comedy, Drama",Spike Lee,Danny Aiello,Ossie Davis,Ruby Dee,Richard Edson
Rain Man,Drama,Barry Levinson,Dustin Hoffman,Tom Cruise,Valeria Golino,Gerald R. Molen
Akira,"Animation, Action, Sci-Fi",Katsuhiro Ôtomo,Mitsuo Iwata,Nozomu Sasaki,Mami Koyama,Tesshô Genda
The Princess Bride,"Adventure, Family, Fantasy",Rob Reiner,Cary Elwes,Mandy Patinkin,Robin Wright,Chris Sarandon
Der Himmel über Berlin,"Drama, Fantasy, Romance",Wim Wenders,Bruno Ganz,Solveig Dommartin,Otto Sander,Curt Bois
Au revoir les enfants,"Drama, War",Louis Malle,Gaspard Manesse,Raphael Fejtö,Francine Racette,Stanislas Carré de Malberg
Tenkû no shiro Rapyuta,"Animation, Adventure, Drama",Hayao Miyazaki,Mayumi Tanaka,Keiko Yokozawa,Kotoe Hatsui,Minori Terada
The Terminator,"Action, Sci-Fi",James Cameron,Arnold Schwarzenegger,Linda Hamilton,Michael Biehn,Paul Winfield
Gandhi,"Biography, Drama, History",Richard Attenborough,Ben Kingsley,John Gielgud,Rohini Hattangadi,Roshan Seth
Kagemusha,"Drama, History, War",Akira Kurosawa,Tatsuya Nakadai,Tsutomu Yamazaki,Ken'ichi Hagiwara,Jinpachi Nezu
Being There,"Comedy, Drama",Hal Ashby,Peter Sellers,Shirley MacLaine,Melvyn Douglas,Jack Warden
Annie Hall,"Comedy, Romance",Woody Allen,Woody Allen,Diane Keaton,Tony Roberts,Carol Kane
Jaws,"Adventure, Thriller",Steven Spielberg,Roy Scheider,Robert Shaw,Richard Dreyfuss,Lorraine Gary
Dog Day Afternoon,"Biography, Crime, Drama",Sidney Lumet,Al Pacino,John Cazale,Penelope Allen,Sully Boyar
Young Frankenstein,Comedy,Mel Brooks,Gene Wilder,Madeline Kahn,Marty Feldman,Peter Boyle
Papillon,"Biography, Crime, Drama",Franklin J. Schaffner,Steve McQueen,Dustin Hoffman,Victor Jory,Don Gordon
The Exorcist,Horror,William Friedkin,Ellen Burstyn,Max von Sydow,Linda Blair,Lee J. Cobb
Sleuth,"Mystery, Thriller",Joseph L. Mankiewicz,Laurence Olivier,Michael Caine,Alec Cawthorne,John Matthews
The Last Picture Show,"Drama, Romance",Peter Bogdanovich,Timothy Bottoms,Jeff Bridges,Cybill Shepherd,Ben Johnson
Fiddler on the Roof,"Drama, Family, Musical",Norman Jewison,Topol,Norma Crane,Leonard Frey,Molly Picon
Il conformista,Drama,Bernardo Bertolucci,Jean-Louis Trintignant,Stefania Sandrelli,Gastone Moschin,Enzo Tarascio
Butch Cassidy and the Sundance Kid,"Biography, Crime, Drama",George Roy Hill,Paul Newman,Robert Redford,Katharine Ross,Strother Martin
