Released_Year,Runtime,IMDB_Rating,Meta_score,No_of_Votes,Gross
1999,113,7.7,90.0,312542,"22,858,926"
1997,139,7.7,67.0,275755,"148,478,011"
1997,126,7.7,52.0,434125,"63,540,020"
1998,80,7.7,73.0,37424,"4,065,116"
1997,127,7.7,76.0,279318,"41,909,762"
1996,105,7.7,87.0,51350,"35,811,509"
1996,129,7.7,47.0,189716,"56,116,183"
1996,242,7.7,,35991,"4,414,535"
1995,97,7.7,83.0,32236,"10,019,307"
1995,99,7.7,71.0,26429,
1994,108,7.7,81.0,33600,"21,848,932"
1994,92,7.7,70.0,211450,"3,151,130"
1993,188,7.7,79.0,42275,"6,110,979"
1993,125,7.7,66.0,224169,"77,324,422"
1992,85,7.7,64.0,50298,"27,281,507"
1992,202,7.7,73.0,85819,"48,169,908"
1992,112,7.7,76.0,150409,"75,505,856"
1992,94,7.7,83.0,77798,
1992,100,7.7,82.0,95826,"10,725,228"
1992,138,7.7,62.0,235388,"141,340,178"
1991,130,7.7,64.0,66941,"82,418,501"
1991,116,7.7,69.0,113240,"6,153,939"
1990,115,7.7,66.0,125822,"5,080,409"
1988,104,7.7,83.0,182009,"156,452,370"
1988,107,7.7,,33982,
1987,107,7.7,84.0,40396,"1,544,889"
1987,163,7.7,76.0,94326,"43,984,230"
1987,153,7.7,62.0,115677,"22,238,696"
1986,130,7.7,54.0,102031,"7,153,487"
1986,120,7.7,76.0,181285,"8,551,228"
1985,82,7.7,75.0,47102,"10,631,333"
1985,97,7.7,90.0,59635,"10,600,000"
1983,79,7.7,,39881,"11,798,616"
1982,129,7.7,77.0,36096,"54,000,000"
1982,113,7.7,67.0,112704,"78,912,963"
1982,93,7.7,61.0,226541,"47,212,904"
1980,124,7.7,86.0,47099,"54,800,000"
1980,88,7.7,78.0,214882,"83,400,000"
1979,100,7.7,71.0,27014,
1978,91,7.7,87.0,233106,"47,000,000"
1976,126,7.7,71.0,39889,"1,924,733"
1975,85,7.7,89.0,36037,
1974,104,7.7,68.0,26729,
1974,93,7.7,73.0,125993,"119,500,000"
1973,130,7.7,87.0,109941,"29,800,000"
1973,102,7.7,83.0,96561,"25,000,000"
1972,109,7.7,80.0,98740,"7,056,013"
1971,104,7.7,94.0,110075,"15,630,710"
1971,102,7.7,90.0,143292,"35,900,000"
1968,158,7.7,63.0,51913,
1968,105,7.7,86.0,31572,"44,527,234"
1967,150,7.7,73.0,67183,"45,300,000"
1967,100,7.7,,40274,"26,331"
1966,120,7.7,72.0,31222,"28,350,000"
1965,105,7.7,91.0,48883,
1964,138,7.7,77.0,35999,
1964,110,7.7,87.0,174119,"51,081,062"
1963,119,7.7,90.0,171739,"11,403,529"
1962,106,7.7,76.0,26457,
1960,101,7.7,,31354,"83,957"
1960,128,7.7,74.0,87719,"4,905,000"
1960,90,7.7,90.0,27620,"52,709"
1956,80,7.7,92.0,44839,
1955,111,7.7,89.0,83363,
1955,91,7.7,91.0,26464,
1954,113,7.7,72.0,59415,
1952,129,7.7,,34677,"10,550,000"
1951,92,7.7,,76315,
1951,105,7.7,91.0,71481,"536,118"
1946,110,7.7,,27991,
1940,125,7.7,96.0,88662,"76,408,097"
1933,71,7.7,87.0,30683,
2019,126,7.6,73.0,60408,
2018,102,7.6,71.0,140840,"26,020,957"
2019,161,7.6,83.0,551309,"142,502,728"
2017,127,7.6,86.0,29765,"566,356"
2017,111,7.6,92.0,95181,"5,904,366"
2019,137,7.6,68.0,46739,
2017,101,7.6,60.0,99643,"24,801,212"
2019,97,7.6,70.0,66346,"13,122,642"
2015,138,7.6,77.0,52903,
2015,97,7.6,83.0,35785,"845,464"
2017,136,7.6,67.0,569974,"389,813,101"
2017,113,7.6,86.0,439406,"107,825,862"
2017,134,7.6,72.0,58371,"18,340,051"
2015,142,7.6,81.0,287659,"72,313,754"
2018,118,7.6,80.0,250057,"608,581,744"
2016,107,7.6,81.0,272784,"248,757,044"
2015,121,7.6,82.0,371291,"46,889,293"
2015,133,7.6,82.0,247666,"109,767,581"
2014,140,7.6,92.0,49397,"1,092,800"
2016,102,7.6,88.0,204175,"26,862,450"
2013,98,7.6,77.0,94212,"37,707,719"
2014,130,7.6,79.0,411599,"208,545,589"
2012,112,7.6,,57549,
2011,101,7.6,73.0,190531,"4,105,123"
2012,109,7.6,68.0,228132,"41,003,371"
2010,94,7.6,80.0,80939,"19,202,743"
2018,136,7.6,88.0,334312,"215,288,866"
2010,110,7.6,80.0,311822,"171,243,005"
2010,118,7.6,65.0,38491,"1,008,098"
2010,95,7.6,72.0,500851,"251,513,985"
2011,100,7.6,72.0,315426,"35,014,192"
2010,117,7.6,66.0,524081,"48,071,303"
2009,113,7.6,,63882,
2011,133,7.6,87.0,369529,"75,605,492"
2011,120,7.6,70.0,138959,"3,185,812"
2009,88,7.6,73.0,520041,"75,590,286"
2008,107,7.6,,102742,
2009,128,7.6,57.0,583158,"209,028,679"
2009,129,7.6,53.0,293266,"255,959,475"
2007,104,7.6,79.0,41544,"9,422,422"
2008,123,7.6,36.0,286770,"69,951,824"
2007,100,7.6,82.0,227760,"17,114,882"
2007,127,7.6,66.0,255036,"38,634,938"
2009,71,7.6,81.0,31779,"686,383"
2006,129,7.6,76.0,339757,"88,513,495"
2007,114,7.6,72.0,250590,"20,300,218"
2007,140,7.6,66.0,82781,"10,301,706"
2006,104,7.6,70.0,72863,"24,633,730"
2006,110,7.6,68.0,354728,"39,868,642"
2004,90,7.6,52.0,49728,"6,013"
2009,153,7.6,78.0,474827,"301,959,197"
2006,117,7.6,52.0,732876,"210,614,939"
2005,124,7.6,72.0,206294,"23,089,926"
2009,162,7.6,56.0,500799,"107,509,799"
2005,122,7.6,62.0,294140,"24,149,632"
2004,103,7.6,46.0,379020,"56,000,369"
2008,124,7.6,67.0,83158,"3,081,925"
2004,105,7.6,73.0,65939,"697,181"
2003,93,7.6,45.0,67360,"548,707"
2004,133,7.6,76.0,70925,"6,167,817"
2003,89,7.6,81.0,67370,"5,739,376"
2003,124,7.6,70.0,224545,"16,290,476"
2002,129,7.6,56.0,62659,"45,289"
2004,106,7.6,67.0,198677,"51,680,613"
2002,135,7.6,68.0,169708,"13,060,843"
2004,113,7.6,30.0,451479,"57,938,693"
2002,113,7.6,73.0,376853,"45,064,915"
2000,114,7.6,81.0,169091,
2001,110,7.6,76.0,266842,"52,364,010"
2001,106,7.6,88.0,115827,"13,622,333"
2001,152,7.6,64.0,658185,"317,575,550"
2001,101,7.6,74.0,337651,"96,522,687"
2001,124,7.6,52.0,240714,"52,990,775"
2001,131,7.6,53.0,243729,"51,401,758"
2002,145,7.6,80.0,508417,"132,072,926"
1999,146,7.6,74.0,91557,"50,668,906"
2000,101,7.6,64.0,490062,"15,070,285"
1998,81,7.6,77.0,188317,"7,267,585"
1998,170,7.6,78.0,172710,"36,400,491"
1998,88,7.6,71.0,256906,"120,620,254"
1998,118,7.6,41.0,259753,"10,680,275"
1997,108,7.6,69.0,65058,
1998,100,7.6,66.0,187927,"14,378,331"
1996,147,7.6,49.0,186734,"49,100,000"
1997,134,7.6,52.0,131101,"3,796,699"
1995,136,7.6,84.0,102598,"43,182,776"
1995,128,7.6,58.0,364420,"100,012,499"
1995,121,7.6,62.0,90442,"1,037,847"
1995,135,7.6,69.0,73172,"71,516,617"
PG,140,7.6,77.0,269197,"173,837,933"
1994,92,7.6,88.0,64390,"1,464,625"
1993,113,7.6,56.0,171640,"40,903,593"
1993,102,7.6,78.0,165465,"7,993,039"
1992,120,7.6,68.0,107325,"52,929,168"
1991,118,7.6,90.0,27071,"453,243"
1991,99,7.6,66.0,80487,"1,794,187"
1990,103,7.6,63.0,488817,"285,761,243"
1990,162,7.6,60.0,359809,"66,666,062"
1989,95,7.6,76.0,195663,"92,823,600"
1989,83,7.6,88.0,237696,"111,543,479"
1988,85,7.6,76.0,152871,"78,756,177"
1987,93,7.6,72.0,124773,"49,530,280"
1987,109,7.6,68.0,236894,"65,207,127"
1984,99,7.6,82.0,87745,"2,150,000"
1981,109,7.6,68.0,27650,"119,285,432"
1981,96,7.6,77.0,166588,"12,465,371"
1979,92,7.6,65.0,93878,"22,490,039"
1979,95,7.6,74.0,32802,"76,657,000"
1979,112,7.6,76.0,121731,"43,000,000"
1978,91,7.6,64.0,33656,
1978,121,7.6,59.0,73662,"35,000,000"
1977,138,7.6,90.0,184966,"132,088,635"
1973,112,7.6,87.0,26337,"959,000"
1971,157,7.6,77.0,30144,"696,690"
1970,144,7.6,50.0,45338,"1,378,435"
1967,78,7.6,65.0,166409,"141,843,612"
1966,111,7.6,82.0,56513,
1964,87,7.6,96.0,40351,"13,780,024"
1961,115,7.6,76.0,166544,
1956,201,7.6,84.0,34075,
1953,118,7.6,85.0,43374,"30,500,000"
1944,97,7.6,78.0,26471,
1935,86,7.6,93.0,51853,
